hr:min:sec 	hr:min:sec 	annotation	layer	index
0:01:02	0:01:09	<i>…jamás será vencido!<br> ¡El pueblo unido, jamás será vencido!<br> ¡El pueblo unido…<br>	Música	Canción
0:01:10	0:01:16	En Plomo Informativo, las noticias de nuestro pueblo.	Plomo Informativo	Plomo_Informativo
0:01:17	0:02:01	Explotación y muerte contra trabajadores de la Central Minera San Sebastián. A la voz oficial del Frente Farabundo Martí para la Liberación Nacional, la emisora del pueblo salvadoreño ha llegado una denuncia proveniente de la ciudad de Santa Rosa de Lima, en el departamento de la Unión, la cual expresa que fueron capturados dos trabajadores mineros por denuncias hechas a la guardia nacional por los serviles de la Central Minera San Sebastián, Cristóbal Bonilla, gerente administrativo, Francisco Torres Mengibar, superintendente de mina, junto a Manuel Reyes y Rolando Saravia.	Plomo Informativo<br>Enfrentamientos<br>Bajas	La_Unión
0:02:02	0:02:26	Uno de los dos trabajadores capturados logró escapar del puesto de la guardia, mientras el otro obrero, después de ser cruelmente torturado, fue asesinado. En días pasados también fueron asesinados por orden de los serviles mencionados, otros trabajadores cuyos nombres son Donato Salvador, Leonardo Blanco y Carmen Fuentes.	Plomo Informativo<br>Tortura<br>Bajas	La_Unión
0:02:27	0:02:57	También expresa la denuncia que los explotadores de la mina San Sebastián han retrasado los salarios de los trabajadores correspondientes a varias quincenas. En días pasados despidieron a 20 trabajadores sin darles la indemnización que corresponde a SVC 28.165, a pesar de las millonarias ganancias por la venta del oro extraído de esta rica explotación minera.	Plomo Informativo	La_Unión
0:02:59	0:03:52	Compañero obrero, estudiante, maestro, empleado, militar, patriota, señora de los mercados, pobladores de barrios y tugurios, campesinos, empleados. Radio Venceremos abre sus micrófonos a las denuncias de los problemas laborales. Denuncias de tu comunidad, de las acciones represivas de la dictadura y todo tipo de información que considerés importante para nuestro pueblo en lucha. Toda información hacer llegar a Radio Venceremos a través de la Comisión de Prensa del Frente Farabundo Martí para la Liberación Nacional o cualquier otro canal de las organizaciones revolucionarias.	Radio Venceremos	
0:03:53	0:03:59	Más información a la hora de incorporarnos a las heroicas milicias populares.	Radio Venceremos	
0:04:00	0:04:29	El evidente desgaste que las fuerzas del pueblo están produciendo día a día en las filas del ejército genocida ya no puede ser ocultado por los mandos genocidas. La junta de Gobierno, a través de un vocero de la fuerza armada, ha reconocido ante la prensa haber sufrido 20 bajas en las últimas 24 horas.	Bajas	
0:04:30	0:05:11	Igualmente, la dictadura declaró que en los últimos días cerca de 2.000 combatientes del FMLN construyeron fortificaciones en el Cerro Eramón, departamento de Chalatenango, a pocos kilómetros de la presa hidroeléctrica del Cerrón Grande y la presa Cinco de Noviembre, las más importantes del país. La dictadura ha anunciado, por otra parte, la preparación de una ofensiva contra los combatientes acampados en el Cerro Eramón.	Enfrentamiento	Chalatenango
0:05:12	0:06:00	Mientras tanto, varios centenares de pobladores se han visto obligados a abandonar esa región y refugiarse en la población de lo Ilobasco, ante las amenazas desatadas por la tropa genocida de dar muerte a todo el que permanezca en esa zona. Radio Venceremos en próxima emisión dará un importante parte de guerra informando sobre el avance victorioso de nuestro pueblo en los cuatro frentes de guerra. Hasta aquí Radio Venceremos presentó Plomo Informativo, rompiendo el cerco informativo de la junta fascista.	Radio Venceremos	Chalatenango
0:06:01	0:06:38	<i>Daremos nuestra vida por la patria,<br> Por verla liberada lucharemos.<br> La paz en esta tierra sembraremos,<br> Trabajando día día vivirémos.<br> Tiranos y asesinos ya no habrá.<br> Los niños por las calles jugarán.<br> Los vientos de justicia volverán,<br> Y a todo nuestro pueblo soplará…<br>	Música	Canción
0:06:39	0:06:59	Con bastante asombro hemos leído en los periódicos locales de los últimos días el tono de las declaraciones formuladas por el arzobispo interino de San Salvador, monseñor Arturo Rivera y Damas, en torno a la violencia imperante en nuestro país.	Contexto Político	Iglesia
0:07:00	0:07:19	Entendemos que una de las preocupaciones más profundas de la iglesia en estos conflictivos momentos históricos sea precisamente el doloroso derramamiento de sangre que actualmente sufre nuestro pueblo.	Contexto Político	Iglesia
0:07:20	0:07:39	Recordamos de la misma forma que cuando monseñor Rivera y Damas asumió interinamente el arzobispado de San Salvador, declaró que seguiría el camino trazado por nuestro inolvidable monseñor Óscar Arnulfo Romero.	Contexto Político	Iglesia
0:07:40	0:08:19	Cuando hablamos de un camino trazado queremos referirnos a algo muy claro, la línea de monseñor Romero no admite ambigüedades. Fue claro y preciso, siguió una actitud coherente en relación al papel que la iglesia debe jugar en situaciones como la que actualmente atraviesa nuestro pueblo. Llamó con su nombre exacto a la injusticia, la represión, el genocidio.	Contexto Político	Iglesia
0:08:20	0:08:58	Un día antes de ser asesinado, monseñor Romero, en su última homilía dominical, expresó, "Queremos que el Gobierno tome en serio que de nada sirven las reformas si van teñidas con sangre. En nombre de Dios, y en nombre de este sufrido pueblo, cuyos lamentos suben al cielo cada día más tumultuosos. Les suplico, les ruego, les ordeno cese a la represión".	Contexto Político	Iglesia
0:09:01	0:09:19	No hay confusión posible, monseñor Romero identificó directamente a quienes promueven la violencia y por esto estos promotores de violencia lo asesinaron.	Contexto Político	Iglesia
0:09:20	0:10:09	Es por eso que nos extraña sobremanera la actitud del arzobispo Rivera y Damas al declarar que la represión ejercida por los grupos extremistas de derecha y por elementos del ejército y los cuerpos de seguridad ha disminuido. Hace pocos momentos escuchábamos de labios de los sobrevivientes de la matanza del Junquillo, todo el horror, todo el horror del genocidio instrumentalizado por la junta genocida. Ante esa sangre fresca de los niños del Junquillo nos preguntamos, "¿Cómo es posible hacer tal afirmación?"	Contexto Político	Iglesia
0:10:10	0:10:32	Hace solamente unos días las agencias noticiosas afirmaban que el viernes 22 del presente mes, fueron 26 los cadáveres encontrados con eminentes señales de tortura solo en la periferia de San Salvador.	Contexto Político	Iglesia
0:10:33	0:10:55	Jamás sabremos el número total de los torturados, de los desaparecidos por la junta genocida. En cuanto al terror que la dictadura implanta en las zonas campesinas, esto es conocido en el mundo entero.	Contexto Político	Iglesia
0:10:56	0:11:23	No. Definitivamente, el régimen no ha hecho ningún tipo de concesiones en su política de exterminio. Al contrario, podemos decir con plena seguridad y con el respaldo de todo un pueblo, que la represión gubernamental se ha mil veces multiplicado.	Contexto Político	Iglesia
0:11:24	0:11:44	Por otra parte, Monseñor Rivera y Damas, también afirmó que en su opinión, nuestras fuerzas tratan de impedir que la población recobre la confianza y vaya buscando caminos de normalización.	Contexto Político	Iglesia
0:11:45	0:12:11	Queremos creer que estas afirmaciones son formuladas más por ingenuidad que por malicia. Pues, realmente sucede todo lo contrario y esto lo sabe nuestro pueblo y también los amplios sectores democráticos y progresistas del mundo entero.	Contexto Político	Iglesia
0:12:13	0:12:57	Es totalmente absurdo una tergiversación en tal sentido. Ha sido nuestra vanguardia, el FMLN, la que atenta al concierto de voces que claman por una salida política al conflicto. En virtud de evitar mayor dolor y mayor derramamiento de sangre para nuestro pueblo, ya tan martirizado, ha aceptado y promovido propuestas concretas para alcanzar una salida política a la crisis.	Contexto Político	Iglesia
0:12:59	0:13:49	Sin embargo, es más que evidente que quienes obstaculizan que nuestro pueblo vaya buscando caminos de normalización, son precisamente los que únicamente, a la vez que demagógicamente hablando de elecciones capturan, asesinan o secuestran a miembros de reconocidos partidos de oposición legales. Como son los casos de Eleuterio Cárcamo y Margarita Gastiasoro. Ambos dirigentes del Partido Socialdemócrata, Movimiento Nacional Revolucionario, MNR.	Contexto Político	Iglesia
0:13:50	0:14:22	En el caso del doctor Guillermo Manuel Ungo, presidente de este mismo partido, que increíblemente ha sido acusado por el régimen de terrorista, al mencionarlo junto a otras personalidades reconocidas políticamente en una famosa lista publicada por las fuerzas armadas y todos los medios de comunicación.	Contexto Político	Iglesia
0:14:23	0:15:09	Es un hecho que las declaraciones formuladas por Monseñor Rivera y Damas se apartan de una postura neutral, que resultan tan parcializantes y tan peligrosas, que lo único en que pueden redundar es en un respaldo, y hasta cierto punto para dar cobertura a las acciones criminales en contra de nuestro pueblo, que diariamente realizan precisamente los grupos paramilitares y elementos de los cuerpos de seguridad y del ejército.	Contexto Político	Iglesia
0:15:10	0:15:37	Estamos seguros que este tipo de actitudes en nada contribuyen para lograr un clima propicio para una salida política a la actual crisis, a la vez que alejan a la iglesia de la posibilidad de jugar un verdadero papel en el proceso de mediación.	Contexto Político	Iglesia
0:15:38	0:16:12	<i>…socialista sera el porvenir,<br> todos juntos haremos la historia,<br> a cumplir, a cumplir, a cumplir.<br> <br> Venceremos, venceremos<br> mil cadenas habra que romper<br> venceremos, venceremos,<br> la miseria sabrémos vencer!<br> <br> Venceremos, venceremos…<br>	Música	Canción
0:16:13	0:16:51	Unidos para combatir hasta la victoria final, revolución o muerte, ¡venceremos!	Radio Venceremos	
0:16:52	0:16:57	<i>Campesinos, soldados y obreros,<br> la mujer de la patria también,<br> estudiantes, empleados, mineros<br> cumpliremos con nuestro deber.<br>	Música	Canción
0:16:58	0:17:06	Con un revolucionario saludo a la clase trabajadora salvadoreña, Radio Venceremos, voz oficial del Frente Farabundo Martí para la Liberación Nacional, llega al final de sus emisiones de esta hora. Recordando que Radio Venceremos, transmite todos los días de 6:00 a 7:00 en la mañana y de 6:00 a 7:00 en la tarde. Radio Venceremos, expresión del poder popular sobre territorios controlados por nuestro pueblo en armas.	Radio Venceremos<br>FMLN	
0:17:07	0:17:39	<i>…todos juntos haremos la historia,<br> a cumplir, a cumplir, a cumplir.<br> <br> Venceremos, venceremos<br> mil cadenas habra que romper<br> venceremos, venceremos,<br> la miseria sabrémos vencer!<br> Venceremos, venceremos<br> mil cadenas habra que romper…<br>	Música	Canción
