hr:min:sec 	hr:min:sec 	annotation	layer	index
0:00:10	0:00:23	(Ametralladora)	Efectos de sonido	Sonidos
0:00:24	0:00:36	Salud, compañeros del Frente Paracentral Anastasio Aquino, Radio Venceremos rompiendo cercos. Más información.	Plomo Informativo	Plomo_Informativo
0:00:37	0:01:04	SUCA exige libertad de refugiados salvadoreños detenidos en Honduras. El Consejo Superior Universitario Centroamericano hizo un llamado a las autoridades hondureñas para que respeten la vida e integridad de los refugiados salvadoreños detenidos y exigió su inmediata libertad.	Desaparecidos	Desaparecidos
0:01:04	0:01:42	Así mismo, a la preocupación de la Universidad Autónoma de Honduras, ante la detención y desaparición de 14 refugiados salvadoreños en Tegucigalpa, entre los que se encuentran estudiantes universitarios y cuatro niños. Agrega el comunicado que el hecho se ha admitido inicialmente por las autoridades hondureñas y negados por varios puestos del ejército hondureño, lo cual aumenta la preocupación por la seguridad personal de estos compatriotas.	Enfrentamiento	Desaparecidos
0:01:43	0:01:54	A la hora de empuñar el fusil para conquistar la paz más información. Más informes sobre la descomposición de las fuerzas armadas genocidas.	Radio Venceremos	
0:01:55	0:02:17	La semana pasada en la población de Corinto en Morazán se produjo un enfrentamiento entre guardias nacionales contra los patrulleros paramilitares, resultando heridos dos agentes de la guardia nacional. Posteriormente llegó un helicóptero y desarmaron a todos los paramilitares y se llevaron las armas.	Bajas	Morazán
0:02:18	0:02:41	Hemos recibido informes que en la pista aérea de la ciudad de Gotera, cabecera departamental de Morazán, una noche de la semana pasada se registró un enfrentamiento entre soldados y oficiales pertenecientes al cuartel de contrainsurgencia que dejó como saldo un oficial muerto y varios soldados gravemente heridos.	Enfrentamiento<br>Bajas	Morazán
0:02:42	0:02:54	Ante los comentarios de la población quisieron ocultar sus fuertes contradicciones afirmando que habían sido atacados por más de 200 guerrilleros.	Reporte	Reporte
0:02:55	0:03:02	Más información, Radio Venceremos rompiendo cercos informativos de la dictadura.	Radio Venceremos	
0:03:03	0:03:36	Duarte, un hombre de paja, afirma expresidente de Venezuela. El expresidente venezolano Carlos Andrés Pérez, declaró en Caracas que los imperialistas norteamericanos afirman engañosamente, que en América Latina lo que existe es una lucha entre comunismo y anticomunismo, y consideran a los militares más reaccionarios como la mejor garantía de sus intereses.	Venezuela	Andrés_Pérez
0:03:37	0:04:01	El exmandatario afirmó que el problema en América Latina no es el comunismo, sino el respeto a los derechos humanos. Así mismo dijo que al identificarse la línea política de Venezuela con la nueva política del gobierno de los Estados Unidos, el país suramericano está cayendo en una grave confusión.	Venezuela	Andrés_Pérez
0:04:02	0:04:36	En lo que se tiene como un ataque contra la política exterior de Herrera Campíns, que apoya a la junta genocida de El Salvador, señaló que en El Salvador lo que hay es un gobierno militar retrógrado, genocida, reaccionario, que tiene como mampara a un hombre de paja, refiriéndose a Duarte. Aunque la realidad es que en El Salvador gobiernan los militares que torturan y violan los derechos humanos.	Venezuela	Andrés_Pérez
0:04:37	0:04:39	Hasta aquí Plomo Informativo.	Plomo Informativo	
0:04:40	0:04:52	Ametralladora	Efectos de Sonido	Sonidos
0:04:53	0:05:09	<i>…venceremos, <br> mil cadenas habrá que romper.<br> Venceremos, venceremos, <br> la miseria sabremos vencer.<br>	Música	Canción
0:05:09	0:05:39	De esta manera Radio Venceremos, voz oficial del Frente para Farabundo Martí para la Liberación Nacional llega al final de sus emisiones de esta hora. Radio Venceremos todos los días en el aire, de 6:00 AM a 7:00 AM y de 6:00 PM a 7:00 PM. Radio Venceremos, expresión del poder popular sobre territorios controlados por nuestro pueblo en armas.	Radio Venceremos	
0:05:40	0:05:48	Unidos para combatir hasta la victoria final, revolución o muerte, venceremos.	Radio Venceremos	
0:05:49	0:06:35	<i>Todos juntos seremos la historia <br> a cumplir, a cumplir, a cumplir.<br> Venceremos, venceremos, <br> mil cadenas habrá que romper.<br> Venceremos, venceremos, <br> la miseria sabremos vencer.<br> Venceremos, venceremos, <br> mil cadenas habrá que romper.<br> Venceremos, venceremos, <br> la miseria sabremos vencer.<br>	Música	Canción
