hr:min:sec 	hr:min:sec 	annotation	layer	index
0:00:06	0:01:05	<i>…unido jamás será vencido<br> El pueblo unido jamás será vencido<br> El pueblo unido jamás será vencido<br> El pueblo unido jamás será vencido<br> <br> De pie, cantar<br> que vamos a triunfar.<br> Avanzan ya<br> banderas de unidad.<br> Y tú vendrás<br> marchando junto a mí<br> y así verás<br> tu canto y tu bandera <br> florecer,<br> la luz<br> de un rojo amanecer<br> anuncia ya<br> la vida que vendrá<br> <br> De pie, marchar, <br> El pueblo va a triunfar.<br> Será mejor <br> la vida que vendrá<br> a conquistar<br> nuestra felicidad<br> y en un clamor<br> mil voces de combate se alzarán<br>	Música	Canción
0:01:06	0:01:27	Transmite Radio Venceremos, voz oficial del Frente Farabundo Martí para la Liberación Nacional. Emitiendo su señal de libertad desde El Salvador, Centroamérica, territorio en combate contra la opresión y el imperialismo.	Radio Venceremos	
0:01:28	0:01:49	<i>El pueblo unido, jamás será vencido<br> El pueblo unido, jamás será vencido<br> La patria está<br> Forjando la unidad<br> De norte a sur<br> Se movilizará<br> Desde el salar<br> Ardiente y mineral<br>	Música	Canción
0:01:49	0:02:11	Radio Venceremos, voz oficial del Frente Farabundo Martí para la Liberación Nacional, emite su señal de libertad desde el Frente Oriental Francisco Sánchez que comprende los departamentos salvadoreños de Usulután, San Miguel, La Unión y Morazán.	Radio Venceremos	
0:02:12	0:02:27	<i>…la verdad<br> De acero son<br> Ardiente batallón<br> Sus manos van<br> Llevando la justicia y la razón<br> Mujer<br> Con fuego y con valor<br> Ya estás aquí…	Música	Canción
0:02:27	0:02:51	Radio Venceremos, expresión del poder popular sobre territorios controlados transmite desde Morazán todos los días de 6:00 AM a 7:00 AM y de 6:00 PM a 7:00 PM a través de la frecuencia internacional de los 40 metros 7 megahercios.	Radio Venceremos	
0:02:51	0:02:57	<i>El pueblo unido, jamás será vencido<br> El pueblo unido, jamás será vencido	Música	Canción
0:02:58	0:03:08	Nuestro apartado postal, 7-907, México, Distrito Federal.	Radio Venceremos	
0:03:09	0:03:17	<i>Y ahora el pueblo<br> Que se alza en la lucha<br> Con voz de gigante<br> Gritando: ¡adelante!	Música	Canción
0:03:18	0:03:48	Radio Venceremos, voz oficial del Frente Farabundo Martí para la Liberación Nacional inicia su emisión de esta hora saludando al avance popular registrado durante 1981. Saludamos el avance de la histórica lucha por la liberación nacional que en este año que termina alcanzó niveles tales que coloca a nuestro pueblo en condiciones de ser el dueño de su destino.	Radio Venceremos/FMLN	
0:03:49	0:03:54	<i>La patria cubrirán<br> Su paso ya<br> Anuncia el porvenir	Música	Canción
0:03:55	0:04:10	Saludamos a los heroicos mineros bolivianos que luchan contra el oprobio de siglos. Saludamos al roto chileno que combate a los socios sangrientos de Duarte y los coroneles.	Radio Venceremos	
0:04:11	0:04:14	<i>Forjando la unidad<br> De norte a sur<br> Se movilizará…	Música	Canción
0:04:15	0:04:49	Saludamos al hombre de la pampa argentina, al obrero pesquero de los mares ajenos en América Latina. Saludamos al indio andino, al indio sin tierra con la esperanza armada en sus manos a un costado del Atitlán guatemalteco. Saludamos al nicaragüense que construye la patria luminosa que le negaron filibusteros y embajadores yanquis. Saludamos al pueblo puertorriqueño que impulsa la lucha anticolonialista.	Radio Venceremos	
0:04:49	0:05:23	Saludamos al pueblo heroico de José Martí, al pueblo de Bolívar, de Sucre. Saludamos a los cristianos comprometidos con los desposeídos del continente. Saludamos a todos los pueblos que hacen de la solidaridad la mano abierta y tendida hacia El Salvador en lucha. Saludamos al heroico pueblo salvadoreño, a la unidad indestructible y necesaria de las fuerzas revolucionarias.	Radio Venceremos	
0:05:23	0:06:08	Saludamos a los hombres y a las mujeres de ese pueblo salvadoreño que avanzó en 1981 hasta las puertas de la victoria y que en 1982, año de otras grandes victorias, ha de vencer la muerte, la violencia, la destrucción de siglos para conquistar la paz en libertad. Saludamos a todos los hombres de la Tierra que como los salvadoreños luchan por el derecho a dejar de ser esclavos de la intervención extranjera, a conquistar el derecho de convertirse en hombres libres sobre una patria soberana.	Radio Venceremos	
0:06:11	0:06:18	Salvadoreños en 1982, organización Venceremos.	Radio Venceremos	
