hr:min:sec 	hr:min:sec 	annotation	layer	index
0:00:04	0:00:43	Sobre esto informaremos con más detalles en las próximas horas. Los mandos ejecutivos del ataque al enemigo en la Guacamaya y El Mozote son los siguientes, mando general, compañero comandante Silvio de Jesús Argueta, "Licho". Mandos de las diferentes direcciones de ataque, compañeros comandante Bracamonte, El Mozote y Arambala, comandante Gallo, cerro los Márquez, cerro Guadalupe, comandante Ángel, pie del Cerro Redondo y escuela de la Guacamaya.	Reporte	Reporte
0:00:44	0:01:18	Otros mandos destacados son los comandantes de pelotón, compañero Freddy, compañeros Sánchez y los compañeros de la sección de comandos y francotiradores y de la escuadra de ametralladoristas. Por otra parte, la incursión a las posiciones enemigas en la ciudad de San Miguel estuvo a cargo del compañero comandante Faustino y la incursión a Usulután a cargo del compañero comandante Chungo.	Enfrentamiento	San_Miguel
0:01:19	0:01:46	Al mando de la emboscada de contención a los refuerzos de San Francisco Gotera estuvo el compañero jefe de zona y comandante Javier. A estos jefes, a los jefes de los ataques, a todas las poblaciones y a todos nuestros heroicos combatientes nuestro reconocimiento público a su valentía y abnegación para con la causa de nuestro pueblo.	Enfrentamiento	San_Miguel
0:01:47	0:02:06	Mantenemos siempre indeclinable nuestra decisión de vencer y nuestra profunda convicción de que la lucha heroica de nuestro pueblo culminará con la expulsión de las dictaduras y los asesinos en nuestra patria.	Reporte	Reporte
0:02:07	0:02:42	Reiteramos nuestra confianza en una conjugación de esfuerzos con todos los sectores democráticos del país para encontrar la solución política a la crisis salvadoreña que enrumbe nuestro proceso hacia la consolidación de una salida democrática, condición indispensable para el desarrollo de nuestra economía, nuestra sociedad y la fortaleza de nuestro sistema jurídico-político.	Reporte	Reporte
0:02:43	0:03:16	Aprovechamos esta fecha de fin de año para saludar a todos nuestros compañeros militantes del Frente Farabundo Martí para la Liberación Nacional en las diferentes tareas, tanto en los frentes de guerra como en las batallas del frente exterior en la solidaridad y la lucha diplomática y a nuestros compañeros militantes que luchan en las cárceles en el quinto frente de guerra.	Reporte	Reporte
0:03:17	0:04:00	Saludamos a nuestro heroico pueblo seguros de que 1982 es el año que reivindicará con una victoria popular la sangre derramada por más de 30.000 salvadoreños. Unidos para combatir hasta la victoria final, revolución o muerte, venceremos. Por la comandancia político-militar del Frente Oriental Francisco Sánchez, comandante Jorge Meléndez, "Jonás", comandante Juan Ramón Medrano, "Balta".	Reporte	Reporte
0:04:01	0:04:31	<i>…hermanos unidos para combatir<br> avancemos a la revolución <br> construyamos un futuro de progreso y dignidad.<br> Revolución o muerte venceremos <br> Farabundo Martí nos inspiroó <br> y hoy resurge victorioso en nuestro frente <br> la bandera roja y blanca nos protegerá <br> y una estrella el sendero nos señalará.<br>	Música	Canción
0:04:32	0:04:53	Recordamos a nuestros oyentes que en el día de hoy, 31 de diciembre, Radio Venceremos, voz oficial del Frente Farabundo Martí para la Liberación Nacional, emitirá una transmisión especial a las 10:00 PM por la misma frecuencia de nuestras emisiones habituales.	Radio Venceremos	
0:04:54	0:05:19	El compañero y sacerdote Rogelio Ponseele oficiará una misa de fin de año en memoria a los héroes y mártires salvadoreños caídos en la lucha por la conquista de la paz, la democracia y un Gobierno de amplia participación. Repetimos, esta noche a las 10:00 PM Radio Venceremos por la frecuencia acostumbrada.	Radio Venceremos	
0:05:20	0:05:44	A continuación, Radio Venceremos, voz oficial del Frente Farabundo Martí para la Liberación Nacional presenta al compañero José Leoncio Pichinte, responsable político de Radio Venceremos y miembro de la comandancia político-militar del Frente Oriental Francisco Sánchez zona norte.	Radio Venceremos	
0:05:45	0:06:07	Faltan pocas horas para que termine este año. Un año en el que nuestro pueblo desplegando grandes sacrificios y esfuerzos ha fortalecido y consolidado, tanto sus fuerzas revolucionarias democráticas como sus instrumentos que lo están conduciendo al triunfo definitivo.	Pichinte	Pichinte_José_Leoncio
0:06:08	0:06:50	En esta ocasión en que en nuestro pueblo se aviva el amor por la paz y la verdadera democracia. Como miembro de la comandancia político-militar de la zona norte del Frente Oriental Francisco Sánchez y como responsable político de Radio Venceremos envío un saludo revolucionario y fraternal a todos los miembros del Movimiento Nacional Revolucionario, MNR, Movimiento Popular Social Cristiano, MPSC, y al Movimiento Independiente de Profesionales y Técnicos de El Salvador, MIPTES.	Pichinte	Pichinte_José_Leoncio
0:06:51	0:07:09	A todos los miembros de la Coordinadora Revolucionaria de Masas, CRM. A todos los colaboradores y simpatizantes del Frente Democrático Revolucionario y del Frente Farabundo Martí para la Liberación Nacional y a todo nuestro pueblo en general.	Pichinte	Pichinte_José_Leoncio
0:07:10	0:07:39	Esta ocasión me es oportuna para presentar ante ustedes un informe acerca de Radio Venceremos, voz oficial del Frente Farabundo Martí para la Liberación Nacional, con el objetivo de ubicar por qué surge el papel que ha jugado en el avance de la lucha de nuestro pueblo, lo que significa en el actual momento y acerca de su lugar de transmisión.	Pichinte	Pichinte_José_Leoncio
0:07:41	0:08:10	El pueblo salvadoreño por largos años ha venido luchando por terminar con la represión, el hambre, la miseria, la opresión y el atraso a que lo han sometido el alto mando fascista de las Fuerzas Armadas, la oligarquía y el imperialismo norteamericano, por conquistar sus libertades democráticas y hacer respetar sus derechos fundamentales.	Pichinte	Pichinte_José_Leoncio
0:08:11	0:08:46	Libertades y derechos que actualmente buscamos concretizar a través de un Gobierno, que sea el resultado de la confluencia de todas las fuerzas democráticas y progresistas que buscan construir la paz y la reconstrucción para El Salvador. Dentro de este marco histórico se ha destacado la lucha por la libertad de expresión del pensamiento llevada a cabo por las fuerzas, sectores democráticos y progresistas y las fuerzas revolucionarias de la sociedad salvadoreña.	Pichinte	Pichinte_José_Leoncio
0:08:47	0:09:23	Llegamos a un momento en que la dictadura en nuestro país acaba con la libertad de expresión, son capturados, desaparecidos y asesinados periodistas. Es cerrada la crónica del pueblo. Es cerrado el periódico El Independiente. Estúpidamente dinamitada la YSAX. Es asesinado la voz de los sin voz, Monseñor Romero. Incluso, son perseguidos, capturados y hasta asesinados periodistas extranjeros destacados en el país.	Pichinte	Pichinte_José_Leoncio
0:09:24	0:09:59	Es en este contexto que el pueblo salvadoreño con sacrificio, enormes esfuerzos y con su creatividad va creando sus propios medios y métodos de expresión popular. Guiado ahora sobre la base de un poder político militar surge Radio Venceremos, el 10 de enero de este año, acompañando la ofensiva general que lanzó el pueblo vanguardizado por el Frente Farabundo Martí para la Liberación Nacional.	Pichinte	Pichinte_José_Leoncio
0:10:02	0:10:46	Radio Venceremos es el resultado de largos años de lucha de nuestro pueblo y de sus fuerzas democráticas progresistas y revolucionarias, por ello es la genuina expresión del poder popular. Por tanto, es una radio del pueblo. Y divulga todas aquellas ideas, pensamientos y posiciones que busquen verdaderamente la paz, la democracia y el bienestar para todos los salvadoreños. Divulga, pues, todo planteamiento que busque hacer avanzar hacia el progreso a la sociedad salvadoreña.	Pichinte	Pichinte_José_Leoncio
0:10:48	0:11:07	Radio Venceremos como expresión del poder popular ha jugado y seguirá jugando un valiosísimo papel en el avance de la lucha que heroicamente libra a todo el pueblo por terminar con medio siglo de dictaduras militares.	Pichinte	Pichinte_José_Leoncio
0:11:08	0:11:49	Radio Venceremos, al igual que las masas populares desplegando grandes sacrificios y esfuerzos, creatividad e iniciativa, ha mantenido informado y ha educado al valiente y heroico pueblo salvadoreño. Ha informado a los demás pueblos del mundo. Ha combatido la desinformación que lanza el imperialismo yankee y la dictadura militar demócrata cristiana. Ha sabido destacar el desarrollo del poder popular y ha orientado a las grandes masas populares en su lucha.	Pichinte	Pichinte_José_Leoncio
0:11:50	0:12:26	En las condiciones actuales del desarrollo de nuestra guerra, Radio Venceremos también llena en gran medida la insuficiencia de propaganda escrita de las fuerzas democráticas, progresistas y revolucionarias de nuestra patria. La existencia de Radio Venceremos en el departamento de Morazán expresa de manera clara lo inevitable del triunfo del pueblo salvadoreño y de lo indestructible que es el Frente Farabundo Martí para la Liberación Nacional.	Pichinte	Pichinte_José_Leoncio
0:12:27	0:12:58	El psicópata del coronel García ha informado varias veces que ha destruido a Radio Venceremos y siempre ha sido falso. Siempre Radio Venceremos ha transmitido. Lo mismo acaba de pasar, lanzaron un operativo genocida que buscaba destruir a la radio. Nosotros desde antes ya sabíamos de este operativo y de sus intenciones, lo dimos a conocer y nos preparamos para derrotarlo.	Pichinte	Pichinte_José_Leoncio
0:12:59	0:13:28	Así, desde días antes, Radio Venceremos redujo el tiempo de transmisiones a 15 y 20 minutos, nos alistábamos para entrar en la guerra de movimientos. García, después de que no salimos al aire, dijo pomposamente habernos destruido y capturado al personal intentando con ello desmoralizar a nuestro valiente pueblo.	Pichinte	Pichinte_José_Leoncio
0:13:29	0:13:58	¿Qué ha pasado? Después, Radio Venceremos sigue transmitiendo y con su mismo personal desde el departamento de Morazán, le guste o no le guste al coronel García y a la genocida junta militar demócrata cristiana. Radio Venceremos transmite dese el departamento de Morazán no desde Nicaragua como pretende hacerlo creer este señor.	Pichinte	Pichinte_José_Leoncio
0:14:00	0:14:31	Esta acusación más bien es una forma de evadir el hecho de que las fuerzas revolucionarias han fortalecido y consolidado una retaguardia y un poder en El Salvador. Al no poder destruirla, tratando de matar su chucho a tiempo declara que en Morazán lo que está es una repetidora y que el transmisor está en Nicaragua y que hasta allá no puede ir.	Pichinte	Pichinte_José_Leoncio
0:14:32	0:15:00	Es tanto el dolor que le causa Radio Venceremos que se desespera y ya no puede ni mentir. Si Radio Venceremos estuviera en Nicaragua no había razón para que al momento de los combates dejara de transmitir. Al contrario, hubiéramos salido con mejores programas y mayor calidad técnica dada las condiciones.	Pichinte	Pichinte_José_Leoncio
0:15:01	0:15:30	Además, pónganse a pensar que la voz de Nicaragua se escucha en El Salvador y sin tener un repetidora aquí, lo mismo podríamos haber hecho nosotros. Es decir, desde el punto de vista técnico este señor no puede engañar a nadie, tampoco lo puede desde el punto de vista de los principios políticos del Frente Farabundo Martí para la Liberación Nacional y el Frente Democrático Revolucionario.	Pichinte	Pichinte_José_Leoncio
0:15:31	0:16:09	Nosotros como revolucionarios democráticos tenemos principios, respetamos la soberanía territorial de los demás pueblos, no somos como el psicópata de García y la junta, sin principios, que fácilmente se pasan al territorio de Honduras para combatir contra nuestras fuerzas violando así la soberanía de ese hermano pueblo. Nosotros no somos como los gusanos cubanos que con tranquilidad han montado una radio en territorio norteamericano, nosotros tenemos principios políticos.	Pichinte	Pichinte_José_Leoncio
0:16:10	0:16:51	En tal sentido, Radio Venceremos es una radio dentro del territorio salvadoreño en el departamento de Morazán. Es una radio en guerra, si no, no fuera Radio Veneremos. Está ubicada en territorios controlados por nuestras fuerzas. Es una valiosa conquista de nuestro pueblo alzado en armas. La verdad de las cosas es que quieren ocultar el hecho de que existe Radio Venceremos y que el ejército sabe dónde está y no puede destruirla. Es una prueba de lo cercano que se encuentra el triunfo para el pueblo salvadoreño.	Pichinte	Pichinte_José_Leoncio
0:16:52	0:17:38	Finalmente, quiero reiterar que estamos hoy más que nunca con la inquebrantable decisión de continuar aún con mayor esfuerzo cumpliendo con las tareas y misiones encomendadas por nuestra comandancia general y con las necesidades de la lucha de nuestro pueblo, rompiendo así el cerco informativo fascista e imperialista, educando a nuestro pueblo, orientando a las grandes masas populares que cada vez se acercan más hacia la derrota de la dictadura militar demócrata cristiana e informando al resto de los pueblos del mundo. Revolución o muerte, venceremos.	Pichinte	Pichinte_José_Leoncio
1059	1079	<i>En cada mano se da una espiga.<br> En cada puño la victoria final.<br> Por la paz, unidad.	Música	Canción
1080	1093	A continuación, Radio Venceremos presenta el mensaje de año nuevo del Frente Farabundo Martí para la Liberación Nacional del pueblo salvadoreño.	Radio Venceremos	
1094	1100	<i>Libertad.<br> Unidad.<br> Libertad.	Música	Canción
1101	1127	Este mensaje de año nuevo del Frente Farabundo Martí para la Liberación Nacional al pueblo salvadoreño llega en momentos en que el desarrollo de la guerra señala un horizonte de optimismo y esperanza para alcanzar el objetivo popular de conquistar la democracia, la justicia social y la paz.	FMLN	
1128	1155	La heroica lucha del pueblo nos permite expresar la confianza de que en 1982 será un nuevo año que traerá grandes victorias para nuestro pueblo en su lucha por instaurar un régimen de amplia participación y de plena autodeterminación de nuestro destino nacional.	FMLN	
1156	1180	En nuestro reciente y último pronunciamiento hacíamos un balance del año, un balance favorable a la lucha ejemplar de nuestro pueblo y exponíamos los fracasos y derrotas sucesivas de las tácticas que la dictadura militar democristiana ha puesto en práctica.	FMLN	
1181	1222	El año de 1982 ofrece dos caminos y una sola vía de solución. Por una parte, un túnel oscuro y sin salida que solo significa muerte y destrucción representado por el actual Gobierno en franco deterioro político, económico y militar, y vanamente empecinado en prolongar su agonía mediante la creciente intervención del Gobierno de los Estados Unidos.	FMLN	
1223	1254	Por otra parte, el camino del pueblo hacia la solución verdadera que recoge las aspiraciones de paz, no solo de las más amplias mayorías nacionales, sino de los pueblos de Centroamérica y de toda la comunidad internacional que se preocupa e interesa por una solución democrática integral.	FMLN	
1255	1295	Nuestros avances militares posibilitan también nuestros avances políticos. Nuestra responsabilidad con el pueblo nos obliga a progresar en el desarrollo de una política de búsqueda de la mejor solución que evite la prolongación de la guerra y de los sufrimientos del pueblo, la intervención mayor y masiva del Gobierno de los Estados Unidos y la regionalización del conflicto salvadoreño.	FMLN	
